experiment_id,fold_id,macro_log_loss,macro_log_loss_delta_vs_b0,macro_brier,macro_brier_delta_vs_b0,micro_log_loss,micro_log_loss_delta_vs_b0,micro_brier,micro_brier_delta_vs_b0,calibration_intercept,calibration_slope,fit_seconds,any_unseen_row_rate
B0,fold_1,0.543989203,0.000000000,0.180553813,0.000000000,0.543705442,0.000000000,0.179918341,0.000000000,-0.200727503,0.837764689,1.085866,0.045312
M1-A,fold_1,0.554180711,0.010191508,0.185756589,0.005202776,0.552853144,0.009147703,0.185079206,0.005160864,-0.193309298,0.743789445,2.047730,0.045312
M1-B,fold_1,0.543520996,-0.000468207,0.181601322,0.001047510,0.542503160,-0.001202282,0.181059212,0.001140871,-0.076532863,0.915741235,1.361334,0.045312
B0,fold_2,0.533159842,0.000000000,0.176667436,0.000000000,0.531271225,0.000000000,0.175895972,0.000000000,-0.169078964,0.926824608,1.398206,0.098298
M1-A,fold_2,0.538838348,0.005678506,0.179184878,0.002517442,0.536222162,0.004950938,0.178104926,0.002208954,-0.104652086,0.872549321,2.357322,0.098298
M1-B,fold_2,0.533279366,0.000119525,0.177222680,0.000555244,0.530788786,-0.000482439,0.176203610,0.000307638,-0.037231679,0.999980294,1.782602,0.098298
B0,fold_3,0.524858723,0.000000000,0.175192148,0.000000000,0.522458223,0.000000000,0.174139452,0.000000000,-0.029463151,0.938987590,2.356088,0.065010
M1-A,fold_3,0.531892111,0.007033388,0.177818304,0.002626156,0.529582125,0.007123902,0.176760502,0.002621051,-0.080059637,0.887091774,2.865533,0.065010
M1-B,fold_3,0.526710366,0.001851643,0.175998664,0.000806516,0.524616977,0.002158754,0.175035664,0.000896212,-0.029988042,0.996879871,2.342942,0.065010
B0,fold_4,0.540145112,0.000000000,0.181495486,0.000000000,0.535951279,0.000000000,0.179721808,0.000000000,0.033054040,0.978841467,3.101055,0.033724
M1-A,fold_4,0.545894719,0.005749607,0.183918993,0.002423507,0.540944659,0.004993380,0.181820918,0.002099110,0.015114011,0.927756266,3.671589,0.033724
M1-B,fold_4,0.543032773,0.002887661,0.182669678,0.001174192,0.538796713,0.002845434,0.180851646,0.001129838,0.079075632,1.021560842,3.374434,0.033724
